player_name;team_abbreviation;country;pts;reb;ast;season
Randy Livingston;HOU;USA;3.9;1.5;2.4;1996-97
Gaylon Nickerson;WAS;USA;3.8;1.3;0.3;1996-97
George Lynch;VAN;USA;8.3;6.4;1.9;1996-97
George McCloud;LAL;USA;10.2;2.8;1.7;1996-97
George Zidek;DEN;USA;2.8;1.7;0.3;1996-97
Gerald Wilkins;ORL;USA;10.6;2.2;2.2;1996-97
Gheorghe Muresan;WAS;USA;10.6;6.6;0.4;1996-97
Glen Rice;CHH;USA;26.8;4.0;2.0;1996-97
Glenn Robinson;MIL;USA;21.1;6.3;3.1;1996-97
Grant Hill;DET;USA;21.4;9.0;7.3;1996-97
Gary Trent;POR;USA;10.8;5.2;1.1;1996-97
Grant Long;DET;USA;5.0;3.4;0.6;1996-97
Greg Anthony;VAN;USA;9.5;2.8;6.3;1996-97
Greg Dreiling;DAL;USA;2.0;1.9;0.3;1996-97
Greg Foster;UTA;USA;3.5;2.4;0.4;1996-97
Greg Graham;SEA;USA;3.3;0.5;0.4;1996-97
Greg Minor;BOS;USA;9.6;3.5;1.5;1996-97
Greg Ostertag;UTA;USA;7.3;7.3;0.4;1996-97
Hakeem Olajuwon;HOU;Nigeria;23.2;9.2;3.0;1996-97
Harvey Grant;WAS;USA;4.1;3.3;0.9;1996-97
Haywoode Workman;IND;USA;5.5;1.8;2.8;1996-97
Greg Anderson;SAS;USA;3.9;5.5;0.4;1996-97
Gary Payton;SEA;USA;21.8;4.6;7.1;1996-97
Gary Grant;MIA;USA;3.9;1.4;1.6;1996-97
Fred Roberts;DAL;USA;1.8;0.8;0.0;1996-97
Eldridge Recasner;ATL;USA;5.7;1.6;1.3;1996-97
Elliot Perry;MIL;USA;6.9;1.5;3.0;1996-97
Elmer Bennett;DEN;USA;2.4;0.4;1.2;1996-97
Elmore Spencer;SEA;USA;0.0;0.0;0.0;1996-97
Emanual Davis;HOU;USA;5.0;1.7;2.0;1996-97
Ennis Whatley;POR;USA;1.3;1.0;1.0;1996-97
Eric Leckner;VAN;USA;1.7;1.8;0.3;1996-97
Eric Mobley;VAN;USA;2.6;2.1;0.5;1996-97
Eric Montross;NJN;USA;4.4;6.6;0.8;1996-97
Eric Murdock;DEN;USA;3.8;0.9;2.0;1996-97
Eric Piatkowski;LAC;USA;6.0;1.6;0.8;1996-97
Eric Snow;SEA;USA;3.0;1.0;2.4;1996-97
Eric Williams;BOS;USA;15.0;4.6;1.8;1996-97
Erick Dampier;IND;USA;5.1;4.1;0.6;1996-97
Erick Strickland;DAL;USA;10.6;3.2;2.4;1996-97
Ervin Johnson;DEN;USA;7.1;11.1;0.9;1996-97
Evric Gray;NJN;USA;2.6;0.6;0.4;1996-97
Felton Spencer;GSW;USA;5.1;5.7;0.3;1996-97
Frank Brickowski;BOS;USA;4.8;2.0;0.9;1996-97
